time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-24T19:51:06.870Z,37.6218333,-118.9753333,5.18,2.96,md,40,85,0.01324,0.06,nc,nc73136051,2019-02-01T20:29:03.852Z,"2km S of Mammoth Lakes, CA",earthquake,0.22,0.27,0.175,48,reviewed,nc,nc
2019-01-24T16:38:05.020Z,35.8622,-96.6872,4.78,3.5,ml,,79,,1.01,us,us2000j8ct,2019-01-25T16:13:29.040Z,"12km NNW of Stroud, Oklahoma",earthquake,1.5,3.1,0.207,18,reviewed,ok,ok
2019-01-24T15:29:45.480Z,39.3731651,-123.2638321,-0.67,2.67,md,11,132,0.1114,0.1,nc,nc73135986,2019-01-24T21:53:24.707Z,"9km ESE of Willits, CA",earthquake,0.41,2.81,0.07,9,automatic,nc,nc
2019-01-24T14:04:39.560Z,31.6588,-104.334,5,2.6,mb_lg,,75,0.375,0.65,us,us2000j892,2019-01-24T18:11:48.040Z,"69km W of Mentone, Texas",earthquake,1.7,1.7,0.096,28,reviewed,us,us
2019-01-24T11:56:26.200Z,34.1134,-97.4491,13.53,2.8,mb_lg,,75,0.58,0.65,us,us2000j87t,2019-01-25T01:56:21.587Z,"5km SSW of Wilson, Oklahoma",earthquake,3.2,7,0.06,73,reviewed,us,us
2019-01-24T09:03:29.360Z,34.3205,-81.3133333,4.4,2.51,md,13,69,0.05886,0.31,se,se60252811,2019-02-01T04:08:20.945Z,"17km N of Chapin, South Carolina",earthquake,1,1.41,0.097,8,reviewed,se,se
2019-01-23T14:36:47.390Z,36.0858333,-117.6171667,1.63,2.83,ml,41,34,0.1075,0.15,ci,ci38201111,2019-01-23T17:51:04.080Z,"30km E of Coso Junction, CA",earthquake,0.14,0.24,0.163,25,reviewed,ci,ci
2019-01-23T10:05:57.520Z,44.2986667,-110.6803333,9.42,2.98,ml,19,113,0.122,0.22,uu,uu60310292,2019-01-23T15:07:21.020Z,"21km SSE of Old Faithful Geyser, Wyoming",earthquake,0.52,1.44,0.258,14,reviewed,uu,uu
2019-01-23T08:58:34.840Z,37.8918333,-113.6683333,0.04,2.87,ml,20,122,0.2082,0.24,uu,uu60310267,2019-01-23T17:44:10.137Z,"33km N of Enterprise, Utah",earthquake,0.7,2.99,0.157,14,reviewed,uu,uu
2019-01-23T05:21:58.680Z,35.8388329,-121.3468323,8.53,2.58,md,40,178,0.1433,0.15,nc,nc73135461,2019-01-24T02:05:16.590Z,"26km NNW of San Simeon, CA",earthquake,0.47,0.76,0.18,33,automatic,nc,nc
2019-01-23T00:23:06.560Z,38.7939987,-122.7636642,0.4,2.5,md,32,71,0.01897,0.06,nc,nc73135381,2019-01-28T07:28:29.656Z,"2km NNW of The Geysers, CA",earthquake,0.16,0.3,0.21,15,automatic,nc,nc
2019-01-22T18:07:05.280Z,35.2733,-97.8772,6.79,2.8,ml,,71,0.1,0.69,us,us2000j7cb,2019-01-24T15:20:37.176Z,"6km WSW of Tuttle, Oklahoma",earthquake,0.8,3.4,0.291,20,reviewed,ok,ok
2019-01-22T12:39:19.380Z,32.9485,-115.5283333,8.16,2.68,ml,44,45,0.05423,0.32,ci,ci38199959,2019-01-22T22:35:39.961Z,"3km S of Brawley, CA",earthquake,0.3,0.91,0.194,88,reviewed,ci,ci
2019-01-22T08:24:44.440Z,32.9473333,-115.5148333,15.43,3.58,ml,53,45,0.05984,0.28,ci,ci38199831,2019-01-25T00:29:08.075Z,"4km SSE of Brawley, CA",earthquake,0.25,0.48,0.138,250,reviewed,ci,ci
2019-01-22T01:50:34.050Z,32.9478333,-115.5203333,10.73,3.11,ml,78,40,0.05737,0.36,ci,ci38199599,2019-01-22T18:27:56.420Z,"4km SSE of Brawley, CA",earthquake,0.23,0.5,0.179,120,reviewed,ci,ci
2019-01-21T21:01:26.430Z,37.8848333,-113.6598333,3.57,2.57,ml,18,75,0.1989,0.16,uu,uu60310152,2019-01-24T03:49:50.040Z,"34km N of Enterprise, Utah",earthquake,0.35,1.16,0.153,5,reviewed,uu,uu
2019-01-21T18:22:36.230Z,37.6401667,-118.8135,2.16,3.19,ml,34,49,0.0179,0.05,nc,nc73134921,2019-01-29T21:52:04.431Z,"15km E of Mammoth Lakes, CA",earthquake,0.23,0.33,0.191,7,reviewed,nc,nc
2019-01-21T16:19:18.190Z,39.534668,-123.359169,6.6,2.65,md,16,140,0.06772,0.13,nc,nc73134896,2019-01-21T16:40:05.379Z,"10km NNE of Brooktrails, CA",earthquake,0.37,0.64,0.02,9,automatic,nc,nc
2019-01-21T15:42:28.670Z,40.2373333,-124.168,11.5,2.51,md,18,144,0.01337,0.13,nc,nc73134881,2019-02-02T07:55:04.145Z,"14km SE of Petrolia, CA",earthquake,0.47,0.32,0.212,19,reviewed,nc,nc
2019-01-21T05:27:36.320Z,36.391,-98.138,10,3.6,ml,,54,0.169,0.66,us,us2000j6rp,2019-01-21T22:16:14.945Z,"20km SE of Helena, Oklahoma",earthquake,1.4,8.4,,60,reviewed,ok,ok
2019-01-21T04:30:48.030Z,36.2915,-97.5103,10,2.5,ml,,58,0.224,0.2,us,us2000j6r4,2019-01-23T01:06:43.040Z,"19km W of Perry, Oklahoma",earthquake,1.2,8.2,,26,reviewed,ok,ok
2019-01-21T04:12:04.530Z,40.2743333,-121.1903333,6.92,2.5,md,8,174,0.04347,0.09,nc,nc71110089,2019-01-30T21:52:05.187Z,"5km SE of Chester, CA",earthquake,1.55,1.36,0.091,7,reviewed,nc,nc
2019-01-21T04:11:01.270Z,40.292,-121.1503333,8.07,3.37,mw,33,99,0.04441,0.07,nc,nc73134661,2019-02-02T07:09:04.863Z,"5km WNW of Hamilton Branch, CA",earthquake,0.31,0.38,,4,reviewed,nc,nc
2019-01-21T01:29:15.950Z,37.076,-97.364,5,2.5,mb_lg,,87,0.11,0.28,us,us2000j6qp,2019-01-22T23:50:15.710Z,"21km S of Wellington, Kansas",earthquake,1.1,1.4,0.111,21,reviewed,us,us
2019-01-21T00:17:13.960Z,40.366333,-124.7676697,18.35,2.92,md,32,261,0.3461,0.18,nc,nc73134576,2019-01-21T00:52:02.829Z,"41km W of Petrolia, CA",earthquake,3.05,0.91,0.16,15,automatic,nc,nc
2019-01-20T11:32:03.040Z,31.4409,-94.1183,5,3.2,ml,,209,0.561,0.85,us,us2000j6m0,2019-01-22T17:51:27.040Z,"9km S of San Augustine, Texas",earthquake,3.4,2,0.062,34,reviewed,us,us
2019-01-20T01:45:23.120Z,35.2772,-97.8622,5.51,2.9,ml,,47,0.095,0.78,us,us2000j6i3,2019-01-24T08:13:11.719Z,"4km WSW of Tuttle, Oklahoma",earthquake,1.4,4.7,0.356,29,reviewed,ok,ok
2019-01-19T19:02:14.140Z,36.0732,-97.5608,7.88,2.7,ml,,59,,0.38,us,us2000j6f6,2019-01-31T05:11:58.040Z,"13km NNE of Crescent, Oklahoma",earthquake,1.1,5.2,0.262,23,reviewed,ok,ok
2019-01-19T04:35:58.590Z,39.7288,-97.9475,10,2.6,mb_lg,,78,1.211,0.68,us,us2000j67k,2019-01-19T05:28:37.040Z,"23km ESE of Mankato, Kansas",earthquake,3.2,2,0.106,23,reviewed,us,us
2019-01-18T22:07:05.170Z,36.8187,-97.7135,7.11,2.7,ml,,40,,0.25,us,us2000j64b,2019-01-20T01:10:24.040Z,"2km NE of Medford, Oklahoma",earthquake,0.9,4.5,0.307,29,reviewed,ok,ok
2019-01-18T21:47:47.050Z,39.5062,-114.7675,1,2.7,ml,13,118.9,1.189,0.14,nn,nn00674945,2019-01-18T22:07:09.040Z,"11km N of McGill, Nevada",earthquake,,13.5,,,automatic,nn,nn
2019-01-18T16:07:51.510Z,37.5038333,-113.8416667,5.56,2.59,ml,14,71,0.04367,0.18,uu,uu60309937,2019-01-18T18:47:19.040Z,"13km SW of Enterprise, Utah",earthquake,0.62,0.85,0.142,5,reviewed,uu,uu
2019-01-18T15:17:29.360Z,35.3165,-97.9811,5,2.8,mb_lg,,66,0.125,1.05,us,us2000j5rw,2019-01-18T19:43:09.081Z,"3km W of Minco, Oklahoma",earthquake,1.2,1.8,0.059,74,reviewed,us,us
2019-01-18T10:20:28.330Z,32.9138,-100.8899,5,2.8,ml,,46,0.035,0.64,us,us2000j5p3,2019-01-18T16:39:38.053Z,"21km N of Snyder, Texas",earthquake,4.9,2,0.071,48,reviewed,us,us
2019-01-18T08:19:15.690Z,33.1483333,-115.6186667,11.06,3.39,ml,59,53,0.0422,0.24,ci,ci38196351,2019-01-19T06:49:36.945Z,"10km WNW of Calipatria, CA",earthquake,0.2,0.4,0.128,233,reviewed,ci,ci
2019-01-18T07:32:25.150Z,37.4035,-118.6056667,10.14,2.62,md,24,117,0.06055,0.06,nc,nc73133846,2019-01-19T02:05:39.483Z,"1km SSW of Round Valley, CA",earthquake,0.36,0.79,0.233,28,reviewed,nc,nc
2019-01-17T14:20:50.230Z,33.2273333,-116.746,10.47,2.53,ml,77,21,0.01374,0.18,ci,ci38195511,2019-01-17T19:57:53.630Z,"2km SE of Lake Henshaw, CA",earthquake,0.14,0.29,0.197,25,reviewed,ci,ci
2019-01-17T14:11:07.620Z,37.8485,-122.2383333,10.52,3.39,ml,107,25,0.02568,0.1,nc,nc73133716,2019-01-29T04:43:03.440Z,"3km NNW of Piedmont, CA",earthquake,0.11,0.18,0.216,56,reviewed,nc,nc
